"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske";"Odseljeni v tujino - Skupaj";"Odseljeni v tujino - Moški";"Odseljeni v tujino - Ženske";"Priseljeni iz tujine na 1000 prebivalcev";"Odseljeni v tujino na 1000 prebivalcev"
" ";"2012";821;456;365;701;457;244;6.9;5.9
" ";"2013";699;405;294;567;351;216;5.9;4.8
" ";"2014";660;400;260;625;367;258;5.6;5.3
"Obalno-kraška"
" ";"1995";194;111;83;31;15;16;1.9;0.3
" ";"1996";121;63;58;38;19;19;1.2;0.4
" ";"1997";76;44;32;61;38;23;0.7;0.6
" ";"1998";558;312;246;585;410;175;5.4;5.7
" ";"1999";534;367;167;250;150;100;5.2;2.4
" ";"2000";581;389;192;228;151;77;5.6;2.2
" ";"2001";751;473;278;426;319;107;7.3;4.1
" ";"2002";975;702;273;649;416;233;9.3;6.2
" ";"2003";973;651;322;479;284;195;9.3;4.6
" ";"2004";909;656;253;831;560;271;8.7;7.9
" ";"2005";1514;1110;404;844;663;181;14.4;8.0
" ";"2006";1953;1461;492;1340;993;347;18.4;12.6
" ";"2007";2733;2061;672;1208;837;371;25.5;11.3
" ";"2008";3107;2219;888;1003;704;299;28.9;9.3
" ";"2009";3030;2196;834;1822;1353;469;27.6;16.6
" ";"2010";1664;1006;658;1547;1085;462;15.0;14.0
" ";"2011";1462;801;661;1139;754;385;13.2;10.3
" ";"2012";1626;1015;611;1119;690;429;14.6;10.0
" ";"2013";1356;778;578;1113;650;463;12.1;9.9
" ";"2014";1366;793;573;1298;753;545;12.1;11.5

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
" "
"- (seznam HREF=http://www.stat.si/metodoloska.asp?podrocje=5 "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=5&kon=021&DatumOd=1.1.2005&Da-"
"tumDo=Date() target=_blank) Koledar objav "
"- (seznam HREF=http://www.stat.si/metodologija_vpr.asp?pod=5&kon=021 "
"target=_blank) Vprašalniki statistiènega raziskovanja"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

"Podatki od 2008 naprej so pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih dr avljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih državljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

"Do  vkljuèno leta 1997 so zajete selitve slovenskih državljanov, od "
"leta 1998 pa selitve celotnega prebivalstva."

