"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Tuji državljani";57;41;16
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";96;46;50
" ";" ";" ";"Državljani Republike Slovenije";46;25;21
" ";" ";" ";"Tuji državljani";50;21;29
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";62;38;24
" ";" ";" ";"Državljani Republike Slovenije";31;22;9
" ";" ";" ";"Tuji državljani";31;16;15
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";392;314;78
" ";" ";" ";"Državljani Republike Slovenije";76;51;25
" ";" ";" ";"Tuji državljani";316;263;53
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";796;600;196
" ";" ";" ";"Državljani Republike Slovenije";122;76;46
" ";" ";" ";"Tuji državljani";674;524;150
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";753;536;217
" ";" ";" ";"Državljani Republike Slovenije";78;38;40
" ";" ";" ";"Tuji državljani";675;498;177
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";849;678;171
" ";" ";" ";"Državljani Republike Slovenije";84;39;45
" ";" ";" ";"Tuji državljani";765;639;126
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";659;552;107
" ";" ";" ";"Državljani Republike Slovenije";76;42;34
" ";" ";" ";"Tuji državljani";583;510;73
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";538;450;88
" ";" ";" ";"Državljani Republike Slovenije";64;30;34
" ";" ";" ";"Tuji državljani";474;420;54
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";386;293;93
" ";" ";" ";"Državljani Republike Slovenije";58;29;29
" ";" ";" ";"Tuji državljani";328;264;64
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";258;201;57
" ";" ";" ";"Državljani Republike Slovenije";41;18;23
" ";" ";" ";"Tuji državljani";217;183;34
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";249;201;48
" ";" ";" ";"Državljani Republike Slovenije";35;17;18
" ";" ";" ";"Tuji državljani";214;184;30
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";186;128;58
" ";" ";" ";"Državljani Republike Slovenije";34;19;15
" ";" ";" ";"Tuji državljani";152;109;43
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";73;54;19
" ";" ";" ";"Državljani Republike Slovenije";19;12;7
" ";" ";" ";"Tuji državljani";54;42;12
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";14;3;11
" ";" ";" ";"Državljani Republike Slovenije";4;3;1
" ";" ";" ";"Tuji državljani";10;0;10
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";23;14;9
" ";" ";" ";"Državljani Republike Slovenije";6;3;3
" ";" ";" ";"Tuji državljani";17;11;6
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";16;3;13
" ";" ";" ";"Državljani Republike Slovenije";0;0;0
" ";" ";" ";"Tuji državljani";16;3;13
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";10;4;6
" ";" ";" ";"Državljani Republike Slovenije";3;1;2
" ";" ";" ";"Tuji državljani";7;3;4
" ";"1998"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";6708;5131;1577
" ";" ";" ";"Državljani Republike Slovenije";705;363;342
" ";" ";" ";"Tuji državljani";6003;4768;1235
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";76;41;35
" ";" ";" ";"Državljani Republike Slovenije";23;13;10
" ";" ";" ";"Tuji državljani";53;28;25
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";171;85;86
" ";" ";" ";"Državljani Republike Slovenije";25;12;13
" ";" ";" ";"Tuji državljani";146;73;73
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";175;112;63
" ";" ";" ";"Državljani Republike Slovenije";26;17;9
" ";" ";" ";"Tuji državljani";149;95;54
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";282;191;91
" ";" ";" ";"Državljani Republike Slovenije";64;40;24
" ";" ";" ";"Tuji državljani";218;151;67
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";789;645;144
" ";" ";" ";"Državljani Republike Slovenije";86;46;40
" ";" ";" ";"Tuji državljani";703;599;104
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1170;890;280
" ";" ";" ";"Državljani Republike Slovenije";91;43;48
" ";" ";" ";"Tuji državljani";1079;847;232
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1121;866;255
" ";" ";" ";"Državljani Republike Slovenije";70;31;39
" ";" ";" ";"Tuji državljani";1051;835;216
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";733;644;89
" ";" ";" ";"Državljani Republike Slovenije";52;24;28
" ";" ";" ";"Tuji državljani";681;620;61
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";704;630;74
" ";" ";" ";"Državljani Republike Slovenije";47;23;24
" ";" ";" ";"Tuji državljani";657;607;50
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";566;435;131
" ";" ";" ";"Državljani Republike Slovenije";55;30;25
" ";" ";" ";"Tuji državljani";511;405;106
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";389;292;97
" ";" ";" ";"Državljani Republike Slovenije";43;15;28
" ";" ";" ";"Tuji državljani";346;277;69
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";251;156;95
" ";" ";" ";"Državljani Republike Slovenije";33;23;10
" ";" ";" ";"Tuji državljani";218;133;85
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";122;78;44
" ";" ";" ";"Državljani Republike Slovenije";35;17;18
" ";" ";" ";"Tuji državljani";87;61;26
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";60;29;31
" ";" ";" ";"Državljani Republike Slovenije";29;16;13
" ";" ";" ";"Tuji državljani";31;13;18
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";42;19;23
" ";" ";" ";"Državljani Republike Slovenije";17;9;8
" ";" ";" ";"Tuji državljani";25;10;15
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";25;10;15
" ";" ";" ";"Državljani Republike Slovenije";7;3;4
" ";" ";" ";"Tuji državljani";18;7;11
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";16;4;12
" ";" ";" ";"Državljani Republike Slovenije";1;0;1
" ";" ";" ";"Tuji državljani";15;4;11
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";16;4;12
" ";" ";" ";"Državljani Republike Slovenije";1;1;0
" ";" ";" ";"Tuji državljani";15;3;12
" ";"1999"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";2606;1732;874
" ";" ";" ";"Državljani Republike Slovenije";963;525;438
" ";" ";" ";"Tuji državljani";1643;1207;436
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";80;41;39
" ";" ";" ";"Državljani Republike Slovenije";55;27;28
" ";" ";" ";"Tuji državljani";25;14;11
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";96;49;47
" ";" ";" ";"Državljani Republike Slovenije";52;23;29
" ";" ";" ";"Tuji državljani";44;26;18
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";98;57;41
" ";" ";" ";"Državljani Republike Slovenije";46;27;19
" ";" ";" ";"Tuji državljani";52;30;22
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";118;79;39
" ";" ";" ";"Državljani Republike Slovenije";73;53;20
" ";" ";" ";"Tuji državljani";45;26;19
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";219;149;70
" ";" ";" ";"Državljani Republike Slovenije";94;50;44
" ";" ";" ";"Tuji državljani";125;99;26
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";395;243;152
" ";" ";" ";"Državljani Republike Slovenije";156;85;71
" ";" ";" ";"Tuji državljani";239;158;81
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";359;233;126
" ";" ";" ";"Državljani Republike Slovenije";98;49;49
" ";" ";" ";"Tuji državljani";261;184;77
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";327;242;85
" ";" ";" ";"Državljani Republike Slovenije";85;48;37
" ";" ";" ";"Tuji državljani";242;194;48
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";283;215;68
" ";" ";" ";"Državljani Republike Slovenije";72;44;28
" ";" ";" ";"Tuji državljani";211;171;40
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";230;181;49
" ";" ";" ";"Državljani Republike Slovenije";66;38;28
" ";" ";" ";"Tuji državljani";164;143;21
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";147;102;45
" ";" ";" ";"Državljani Republike Slovenije";50;23;27
" ";" ";" ";"Tuji državljani";97;79;18
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";99;61;38
" ";" ";" ";"Državljani Republike Slovenije";35;16;19
" ";" ";" ";"Tuji državljani";64;45;19
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";73;42;31
" ";" ";" ";"Državljani Republike Slovenije";38;22;16
" ";" ";" ";"Tuji državljani";35;20;15
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";35;19;16
" ";" ";" ";"Državljani Republike Slovenije";19;10;9
" ";" ";" ";"Tuji državljani";16;9;7
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";23;11;12
" ";" ";" ";"Državljani Republike Slovenije";12;6;6
" ";" ";" ";"Tuji državljani";11;5;6
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";16;6;10
" ";" ";" ";"Državljani Republike Slovenije";9;3;6
" ";" ";" ";"Tuji državljani";7;3;4
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";5;2;3
" ";" ";" ";"Državljani Republike Slovenije";3;1;2
" ";" ";" ";"Tuji državljani";2;1;1
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";3;0;3
" ";" ";" ";"Državljani Republike Slovenije";0;0;0
" ";" ";" ";"Tuji državljani";3;0;3
" ";"2000"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";3570;2376;1194
" ";" ";" ";"Državljani Republike Slovenije";1559;806;753
" ";" ";" ";"Tuji državljani";2011;1570;441
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";75;44;31
" ";" ";" ";"Državljani Republike Slovenije";57;33;24
" ";" ";" ";"Tuji državljani";18;11;7
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";110;61;49
" ";" ";" ";"Državljani Republike Slovenije";47;24;23
" ";" ";" ";"Tuji državljani";63;37;26
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";128;80;48
" ";" ";" ";"Državljani Republike Slovenije";44;25;19
" ";" ";" ";"Tuji državljani";84;55;29
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";226;159;67
" ";" ";" ";"Državljani Republike Slovenije";106;77;29
" ";" ";" ";"Tuji državljani";120;82;38
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";352;219;133
" ";" ";" ";"Državljani Republike Slovenije";193;97;96
" ";" ";" ";"Tuji državljani";159;122;37
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";523;333;190
" ";" ";" ";"Državljani Republike Slovenije";254;118;136
" ";" ";" ";"Tuji državljani";269;215;54
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";459;302;157
" ";" ";" ";"Državljani Republike Slovenije";178;79;99
" ";" ";" ";"Tuji državljani";281;223;58
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";414;304;110
" ";" ";" ";"Državljani Republike Slovenije";136;75;61
" ";" ";" ";"Tuji državljani";278;229;49
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";274;201;73
" ";" ";" ";"Državljani Republike Slovenije";102;55;47
" ";" ";" ";"Tuji državljani";172;146;26
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";271;186;85
" ";" ";" ";"Državljani Republike Slovenije";125;63;62
" ";" ";" ";"Tuji državljani";146;123;23
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";199;137;62
" ";" ";" ";"Državljani Republike Slovenije";91;43;48
" ";" ";" ";"Tuji državljani";108;94;14
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";157;104;53
" ";" ";" ";"Državljani Republike Slovenije";61;28;33
" ";" ";" ";"Tuji državljani";96;76;20
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";166;122;44
" ";" ";" ";"Državljani Republike Slovenije";72;39;33
" ";" ";" ";"Tuji državljani";94;83;11
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";81;52;29
" ";" ";" ";"Državljani Republike Slovenije";44;24;20
" ";" ";" ";"Tuji državljani";37;28;9
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";61;36;25
" ";" ";" ";"Državljani Republike Slovenije";24;15;9
" ";" ";" ";"Tuji državljani";37;21;16
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";39;21;18
" ";" ";" ";"Državljani Republike Slovenije";15;7;8
" ";" ";" ";"Tuji državljani";24;14;10
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";23;10;13
" ";" ";" ";"Državljani Republike Slovenije";5;2;3
" ";" ";" ";"Tuji državljani";18;8;10
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";12;5;7
" ";" ";" ";"Državljani Republike Slovenije";5;2;3
" ";" ";" ";"Tuji državljani";7;3;4
" ";"2001"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";4811;3503;1308
" ";" ";" ";"Državljani Republike Slovenije";1442;743;699
" ";" ";" ";"Tuji državljani";3369;2760;609
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";88;39;49
" ";" ";" ";"Državljani Republike Slovenije";75;32;43
" ";" ";" ";"Tuji državljani";13;7;6
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";99;57;42
" ";" ";" ";"Državljani Republike Slovenije";67;36;31
" ";" ";" ";"Tuji državljani";32;21;11
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";102;64;38
" ";" ";" ";"Državljani Republike Slovenije";67;41;26
" ";" ";" ";"Tuji državljani";35;23;12
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";205;120;85
" ";" ";" ";"Državljani Republike Slovenije";90;59;31
" ";" ";" ";"Tuji državljani";115;61;54
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";800;589;211
" ";" ";" ";"Državljani Republike Slovenije";139;75;64
" ";" ";" ";"Tuji državljani";661;514;147
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";901;698;203
" ";" ";" ";"Državljani Republike Slovenije";207;93;114
" ";" ";" ";"Tuji državljani";694;605;89
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";699;559;140
" ";" ";" ";"Državljani Republike Slovenije";138;59;79
" ";" ";" ";"Tuji državljani";561;500;61
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";533;424;109
" ";" ";" ";"Državljani Republike Slovenije";113;63;50
" ";" ";" ";"Tuji državljani";420;361;59
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";444;350;94
" ";" ";" ";"Državljani Republike Slovenije";103;58;45
" ";" ";" ";"Tuji državljani";341;292;49
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";283;194;89
" ";" ";" ";"Državljani Republike Slovenije";94;44;50
" ";" ";" ";"Tuji državljani";189;150;39
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";206;140;66
" ";" ";" ";"Državljani Republike Slovenije";93;48;45
" ";" ";" ";"Tuji državljani";113;92;21
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";152;92;60
" ";" ";" ";"Državljani Republike Slovenije";92;50;42
" ";" ";" ";"Tuji državljani";60;42;18
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";133;92;41
" ";" ";" ";"Državljani Republike Slovenije";71;39;32
" ";" ";" ";"Tuji državljani";62;53;9
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";76;48;28
" ";" ";" ";"Državljani Republike Slovenije";47;28;19
" ";" ";" ";"Tuji državljani";29;20;9
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";38;13;25
" ";" ";" ";"Državljani Republike Slovenije";24;10;14
" ";" ";" ";"Tuji državljani";14;3;11
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";28;13;15
" ";" ";" ";"Državljani Republike Slovenije";17;6;11
" ";" ";" ";"Tuji državljani";11;7;4
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";17;9;8
" ";" ";" ";"Državljani Republike Slovenije";4;2;2
" ";" ";" ";"Tuji državljani";13;7;6
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";7;2;5
" ";" ";" ";"Državljani Republike Slovenije";1;0;1
" ";" ";" ";"Tuji državljani";6;2;4
" ";"2002"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";7269;4596;2673
" ";" ";" ";"Državljani Republike Slovenije";2624;1286;1338
" ";" ";" ";"Tuji državljani";4645;3310;1335
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";152;90;62
" ";" ";" ";"Državljani Republike Slovenije";125;78;47
" ";" ";" ";"Tuji državljani";27;12;15
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";152;81;71
" ";" ";" ";"Državljani Republike Slovenije";107;55;52
" ";" ";" ";"Tuji državljani";45;26;19
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";137;61;76
" ";" ";" ";"Državljani Republike Slovenije";86;41;45
" ";" ";" ";"Tuji državljani";51;20;31
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";290;153;137
" ";" ";" ";"Državljani Republike Slovenije";133;72;61
" ";" ";" ";"Tuji državljani";157;81;76
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1190;745;445
" ";" ";" ";"Državljani Republike Slovenije";239;110;129
" ";" ";" ";"Tuji državljani";951;635;316
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1274;856;418
" ";" ";" ";"Državljani Republike Slovenije";336;157;179
" ";" ";" ";"Tuji državljani";938;699;239
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1062;735;327
" ";" ";" ";"Državljani Republike Slovenije";312;135;177
" ";" ";" ";"Tuji državljani";750;600;150
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";811;544;267
" ";" ";" ";"Državljani Republike Slovenije";219;101;118
" ";" ";" ";"Tuji državljani";592;443;149
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";669;468;201
" ";" ";" ";"Državljani Republike Slovenije";194;100;94
" ";" ";" ";"Tuji državljani";475;368;107
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";415;267;148
" ";" ";" ";"Državljani Republike Slovenije";148;74;74
" ";" ";" ";"Tuji državljani";267;193;74
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";396;215;181
" ";" ";" ";"Državljani Republike Slovenije";241;106;135
" ";" ";" ";"Tuji državljani";155;109;46
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";245;133;112
" ";" ";" ";"Državljani Republike Slovenije";168;89;79
" ";" ";" ";"Tuji državljani";77;44;33
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";202;122;80
" ";" ";" ";"Državljani Republike Slovenije";131;76;55
" ";" ";" ";"Tuji državljani";71;46;25
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";136;66;70
" ";" ";" ";"Državljani Republike Slovenije";99;50;49
" ";" ";" ";"Tuji državljani";37;16;21
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";63;26;37
" ";" ";" ";"Državljani Republike Slovenije";45;20;25
" ";" ";" ";"Tuji državljani";18;6;12
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";35;17;18
" ";" ";" ";"Državljani Republike Slovenije";20;11;9
" ";" ";" ";"Tuji državljani";15;6;9
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";25;11;14
" ";" ";" ";"Državljani Republike Slovenije";14;7;7
" ";" ";" ";"Tuji državljani";11;4;7
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";15;6;9
" ";" ";" ";"Državljani Republike Slovenije";7;4;3
" ";" ";" ";"Tuji državljani";8;2;6
" ";"2003"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";5867;3444;2423
" ";" ";" ";"Državljani Republike Slovenije";1887;952;935
" ";" ";" ";"Tuji državljani";3980;2492;1488
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";157;87;70
" ";" ";" ";"Državljani Republike Slovenije";123;70;53
" ";" ";" ";"Tuji državljani";34;17;17
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";134;69;65
" ";" ";" ";"Državljani Republike Slovenije";87;43;44
" ";" ";" ";"Tuji državljani";47;26;21
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";114;62;52
" ";" ";" ";"Državljani Republike Slovenije";55;34;21
" ";" ";" ";"Tuji državljani";59;28;31
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";227;136;91
" ";" ";" ";"Državljani Republike Slovenije";98;50;48
" ";" ";" ";"Tuji državljani";129;86;43
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";846;452;394
" ";" ";" ";"Državljani Republike Slovenije";159;83;76
" ";" ";" ";"Tuji državljani";687;369;318
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";970;550;420
" ";" ";" ";"Državljani Republike Slovenije";260;117;143
" ";" ";" ";"Tuji državljani";710;433;277
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";956;622;334
" ";" ";" ";"Državljani Republike Slovenije";221;111;110
" ";" ";" ";"Tuji državljani";735;511;224
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";711;450;261
" ";" ";" ";"Državljani Republike Slovenije";158;71;87
" ";" ";" ";"Tuji državljani";553;379;174
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";514;366;148
" ";" ";" ";"Državljani Republike Slovenije";120;71;49
" ";" ";" ";"Tuji državljani";394;295;99
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";470;263;207
" ";" ";" ";"Državljani Republike Slovenije";116;59;57
" ";" ";" ";"Tuji državljani";354;204;150
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";239;118;121
" ";" ";" ";"Državljani Republike Slovenije";144;75;69
" ";" ";" ";"Tuji državljani";95;43;52
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";177;85;92
" ";" ";" ";"Državljani Republike Slovenije";110;51;59
" ";" ";" ";"Tuji državljani";67;34;33
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";125;58;67
" ";" ";" ";"Državljani Republike Slovenije";86;41;45
" ";" ";" ";"Tuji državljani";39;17;22
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";111;72;39
" ";" ";" ";"Državljani Republike Slovenije";66;35;31
" ";" ";" ";"Tuji državljani";45;37;8
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";58;29;29
" ";" ";" ";"Državljani Republike Slovenije";47;24;23
" ";" ";" ";"Tuji državljani";11;5;6
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";31;17;14
" ";" ";" ";"Državljani Republike Slovenije";25;14;11
" ";" ";" ";"Tuji državljani";6;3;3
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";18;7;11
" ";" ";" ";"Državljani Republike Slovenije";9;3;6
" ";" ";" ";"Tuji državljani";9;4;5
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";9;1;8
" ";" ";" ";"Državljani Republike Slovenije";3;0;3
" ";" ";" ";"Tuji državljani";6;1;5
" ";"2004"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";8269;6061;2208
" ";" ";" ";"Državljani Republike Slovenije";2265;1243;1022
" ";" ";" ";"Tuji državljani";6004;4818;1186
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";181;97;84
" ";" ";" ";"Državljani Republike Slovenije";112;70;42
" ";" ";" ";"Tuji državljani";69;27;42
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";138;69;69
" ";" ";" ";"Državljani Republike Slovenije";81;38;43
" ";" ";" ";"Tuji državljani";57;31;26
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";94;38;56
" ";" ";" ";"Državljani Republike Slovenije";45;21;24
" ";" ";" ";"Tuji državljani";49;17;32
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";384;278;106
" ";" ";" ";"Državljani Republike Slovenije";93;47;46
" ";" ";" ";"Tuji državljani";291;231;60
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1357;1052;305
" ";" ";" ";"Državljani Republike Slovenije";211;117;94
" ";" ";" ";"Tuji državljani";1146;935;211
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1559;1160;399
" ";" ";" ";"Državljani Republike Slovenije";376;208;168
" ";" ";" ";"Tuji državljani";1183;952;231
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1259;959;300
" ";" ";" ";"Državljani Republike Slovenije";345;190;155
" ";" ";" ";"Tuji državljani";914;769;145
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";952;753;199
" ";" ";" ";"Državljani Republike Slovenije";187;104;83
" ";" ";" ";"Tuji državljani";765;649;116
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";662;521;141
" ";" ";" ";"Državljani Republike Slovenije";154;89;65
" ";" ";" ";"Tuji državljani";508;432;76
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";549;446;103
" ";" ";" ";"Državljani Republike Slovenije";124;71;53
" ";" ";" ";"Tuji državljani";425;375;50
" ";" ";"50-54 let"
