"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Tuji državljani";666;553;113
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";744;581;163
" ";" ";" ";"Državljani Republike Slovenije";176;94;82
" ";" ";" ";"Tuji državljani";568;487;81
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";612;502;110
" ";" ";" ";"Državljani Republike Slovenije";143;81;62
" ";" ";" ";"Tuji državljani";469;421;48
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";502;424;78
" ";" ";" ";"Državljani Republike Slovenije";97;66;31
" ";" ";" ";"Tuji državljani";405;358;47
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";329;262;67
" ";" ";" ";"Državljani Republike Slovenije";95;50;45
" ";" ";" ";"Tuji državljani";234;212;22
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";184;131;53
" ";" ";" ";"Državljani Republike Slovenije";64;36;28
" ";" ";" ";"Tuji državljani";120;95;25
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";129;100;29
" ";" ";" ";"Državljani Republike Slovenije";62;38;24
" ";" ";" ";"Tuji državljani";67;62;5
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";99;64;35
" ";" ";" ";"Državljani Republike Slovenije";66;40;26
" ";" ";" ";"Tuji državljani";33;24;9
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";72;40;32
" ";" ";" ";"Državljani Republike Slovenije";52;28;24
" ";" ";" ";"Tuji državljani";20;12;8
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";46;20;26
" ";" ";" ";"Državljani Republike Slovenije";40;18;22
" ";" ";" ";"Tuji državljani";6;2;4
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";23;9;14
" ";" ";" ";"Državljani Republike Slovenije";14;8;6
" ";" ";" ";"Tuji državljani";9;1;8
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";8;2;6
" ";" ";" ";"Državljani Republike Slovenije";7;2;5
" ";" ";" ";"Tuji državljani";1;0;1
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";8;4;4
" ";" ";" ";"Državljani Republike Slovenije";8;4;4
" ";" ";" ";"Tuji državljani";0;0;0
" ";"2000"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";6185;4397;1788
" ";" ";" ";"Državljani Republike Slovenije";935;509;426
" ";" ";" ";"Tuji državljani";5250;3888;1362
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";175;82;93
" ";" ";" ";"Državljani Republike Slovenije";35;17;18
" ";" ";" ";"Tuji državljani";140;65;75
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";153;71;82
" ";" ";" ";"Državljani Republike Slovenije";33;22;11
" ";" ";" ";"Tuji državljani";120;49;71
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";146;81;65
" ";" ";" ";"Državljani Republike Slovenije";29;15;14
" ";" ";" ";"Tuji državljani";117;66;51
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";307;178;129
" ";" ";" ";"Državljani Republike Slovenije";61;26;35
" ";" ";" ";"Tuji državljani";246;152;94
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1046;758;288
" ";" ";" ";"Državljani Republike Slovenije";76;40;36
" ";" ";" ";"Tuji državljani";970;718;252
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1066;777;289
" ";" ";" ";"Državljani Republike Slovenije";74;38;36
" ";" ";" ";"Tuji državljani";992;739;253
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";788;578;210
" ";" ";" ";"Državljani Republike Slovenije";68;30;38
" ";" ";" ";"Tuji državljani";720;548;172
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";770;618;152
" ";" ";" ";"Državljani Republike Slovenije";86;50;36
" ";" ";" ";"Tuji državljani";684;568;116
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";557;451;106
" ";" ";" ";"Državljani Republike Slovenije";73;44;29
" ";" ";" ";"Tuji državljani";484;407;77
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";480;379;101
" ";" ";" ";"Državljani Republike Slovenije";81;51;30
" ";" ";" ";"Tuji državljani";399;328;71
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";239;162;77
" ";" ";" ";"Državljani Republike Slovenije";64;30;34
" ";" ";" ";"Tuji državljani";175;132;43
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";145;94;51
" ";" ";" ";"Državljani Republike Slovenije";63;33;30
" ";" ";" ";"Tuji državljani";82;61;21
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";130;86;44
" ";" ";" ";"Državljani Republike Slovenije";83;58;25
" ";" ";" ";"Tuji državljani";47;28;19
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";83;44;39
" ";" ";" ";"Državljani Republike Slovenije";63;37;26
" ";" ";" ";"Tuji državljani";20;7;13
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";46;23;23
" ";" ";" ";"Državljani Republike Slovenije";29;14;15
" ";" ";" ";"Tuji državljani";17;9;8
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";26;10;16
" ";" ";" ";"Državljani Republike Slovenije";9;2;7
" ";" ";" ";"Tuji državljani";17;8;9
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";17;3;14
" ";" ";" ";"Državljani Republike Slovenije";3;1;2
" ";" ";" ";"Tuji državljani";14;2;12
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";11;2;9
" ";" ";" ";"Državljani Republike Slovenije";5;1;4
" ";" ";" ";"Tuji državljani";6;1;5
" ";"2001"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";7803;5321;2482
" ";" ";" ";"Državljani Republike Slovenije";1030;547;483
" ";" ";" ";"Tuji državljani";6773;4774;1999
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";251;126;125
" ";" ";" ";"Državljani Republike Slovenije";66;30;36
" ";" ";" ";"Tuji državljani";185;96;89
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";187;88;99
" ";" ";" ";"Državljani Republike Slovenije";41;19;22
" ";" ";" ";"Tuji državljani";146;69;77
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";168;79;89
" ";" ";" ";"Državljani Republike Slovenije";48;20;28
" ";" ";" ";"Tuji državljani";120;59;61
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";357;199;158
" ";" ";" ";"Državljani Republike Slovenije";50;30;20
" ";" ";" ";"Tuji državljani";307;169;138
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1429;929;500
" ";" ";" ";"Državljani Republike Slovenije";82;43;39
" ";" ";" ";"Tuji državljani";1347;886;461
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1323;900;423
" ";" ";" ";"Državljani Republike Slovenije";95;50;45
" ";" ";" ";"Tuji državljani";1228;850;378
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";988;700;288
" ";" ";" ";"Državljani Republike Slovenije";94;41;53
" ";" ";" ";"Tuji državljani";894;659;235
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";824;653;171
" ";" ";" ";"Državljani Republike Slovenije";70;46;24
" ";" ";" ";"Tuji državljani";754;607;147
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";751;591;160
" ";" ";" ";"Državljani Republike Slovenije";71;45;26
" ";" ";" ";"Tuji državljani";680;546;134
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";560;434;126
" ";" ";" ";"Državljani Republike Slovenije";80;47;33
" ";" ";" ";"Tuji državljani";480;387;93
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";378;278;100
" ";" ";" ";"Državljani Republike Slovenije";80;42;38
" ";" ";" ";"Tuji državljani";298;236;62
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";201;140;61
" ";" ";" ";"Državljani Republike Slovenije";68;40;28
" ";" ";" ";"Tuji državljani";133;100;33
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";173;100;73
" ";" ";" ";"Državljani Republike Slovenije";85;45;40
" ";" ";" ";"Tuji državljani";88;55;33
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";81;43;38
" ";" ";" ";"Državljani Republike Slovenije";39;21;18
" ";" ";" ";"Tuji državljani";42;22;20
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";68;33;35
" ";" ";" ";"Državljani Republike Slovenije";33;18;15
" ";" ";" ";"Tuji državljani";35;15;20
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";43;21;22
" ";" ";" ";"Državljani Republike Slovenije";20;7;13
" ";" ";" ";"Tuji državljani";23;14;9
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";12;5;7
" ";" ";" ";"Državljani Republike Slovenije";5;2;3
" ";" ";" ";"Tuji državljani";7;3;4
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";9;2;7
" ";" ";" ";"Državljani Republike Slovenije";3;1;2
" ";" ";" ";"Tuji državljani";6;1;5
" ";"2002"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";9134;6216;2918
" ";" ";" ";"Državljani Republike Slovenije";1432;793;639
" ";" ";" ";"Tuji državljani";7702;5423;2279
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";309;167;142
" ";" ";" ";"Državljani Republike Slovenije";101;53;48
" ";" ";" ";"Tuji državljani";208;114;94
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";217;104;113
" ";" ";" ";"Državljani Republike Slovenije";50;19;31
" ";" ";" ";"Tuji državljani";167;85;82
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";193;90;103
" ";" ";" ";"Državljani Republike Slovenije";56;29;27
" ";" ";" ";"Tuji državljani";137;61;76
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";460;290;170
" ";" ";" ";"Državljani Republike Slovenije";60;40;20
" ";" ";" ";"Tuji državljani";400;250;150
